National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2021-22,Oklahoma,754,616,138
2021-22,Oregon,"1,350","1,088",262
2021-22,Pennsylvania,"5,127","3,876","1,251"
2021-22,Rhode Island,591,416,175
2021-22,South Carolina,896,711,185
2021-22,South Dakota,313,253,60
2021-22,Tennessee,985,758,227
2021-22,Texas,"6,836","5,324","1,512"
2021-22,Utah,"5,469","4,741",728
2021-22,Vermont,487,416,71
2021-22,Virginia,"3,577","2,785",792
2021-22,Washington,"2,977","2,165",812
2021-22,West Virginia,856,695,161
2021-22,Wisconsin,"1,654","1,381",273
2021-22,Wyoming,33,30,3
2020-21,Total,"104,883","81,926","22,957"
2020-21,Alabama,"1,195",929,266
2020-21,Alaska,29,22,7
2020-21,Arizona,"2,815","2,221",594
2020-21,Arkansas,512,421,91
2020-21,California,"10,677","8,265","2,412"
2020-21,Colorado,"2,168","1,760",408
2020-21,Connecticut,792,623,169
2020-21,Delaware,410,313,97
2020-21,District of Columbia,422,265,157
2020-21,Florida,"5,031","3,955","1,076"
2020-21,Georgia,"3,603","2,748",855
2020-21,Hawaii,199,159,40
2020-21,Idaho,517,396,121
2020-21,Illinois,"3,385","2,673",712
2020-21,Indiana,"2,832","2,234",598
2020-21,Iowa,755,602,153
2020-21,Kansas,793,667,126
2020-21,Kentucky,771,621,150
2020-21,Louisiana,701,544,157
2020-21,Maine,188,148,40
2020-21,Maryland,"5,735","4,359","1,376"
2020-21,Massachusetts,"3,906","2,832","1,074"
2020-21,Michigan,"3,187","2,515",672
2020-21,Minnesota,"2,037","1,591",446
2020-21,Mississippi,348,282,66
2020-21,Missouri,"1,738","1,425",313
2020-21,Montana,124,108,16
2020-21,Nebraska,821,666,155
2020-21,Nevada,258,206,52
2020-21,New Hampshire,"1,337","1,088",249
2020-21,New Jersey,"3,068","2,444",624
2020-21,New Mexico,203,162,41
2020-21,New York,"8,479","6,140","2,339"
2020-21,North Carolina,"2,706","2,078",628
2020-21,North Dakota,178,158,20
2020-21,Ohio,"1,950","1,602",348
2020-21,Oklahoma,734,613,121
2020-21,Oregon,"1,260","1,008",252
2020-21,Pennsylvania,"5,053","3,786","1,267"
2020-21,Rhode Island,573,388,185
2020-21,South Carolina,890,697,193
2020-21,South Dakota,342,286,56
2020-21,Tennessee,933,755,178
2020-21,Texas,"6,484","5,033","1,451"
2020-21,Utah,"5,424","4,832",592
2020-21,Vermont,473,377,96
2020-21,Virginia,"3,566","2,802",764
2020-21,Washington,"2,826","2,073",753
2020-21,West Virginia,867,734,133
2020-21,Wisconsin,"1,542","1,280",262
2020-21,Wyoming,46,40,6
2019-20,Total,"97,054","76,337","20,717"
2019-20,Alabama,"1,044",822,222
2019-20,Alaska,52,41,11
2019-20,Arizona,"2,467","1,969",498
2019-20,Arkansas,500,419,81
2019-20,California,"9,677","7,573","2,104"
2019-20,Colorado,"2,180","1,719",461
2019-20,Connecticut,608,461,147
2019-20,Delaware,329,264,65
2019-20,District of Columbia,416,285,131
2019-20,Florida,"4,522","3,625",897
2019-20,Georgia,"3,390","2,611",779
2019-20,Hawaii,188,143,45
2019-20,Idaho,577,449,128
2019-20,Illinois,"3,250","2,593",657
2019-20,Indiana,"2,723","2,153",570
2019-20,Iowa,844,699,145
