National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2010-11,Washington,781,652,129
2010-11,West Virginia,377,326,51
2010-11,Wisconsin,742,637,105
2010-11,Wyoming,15,12,3
2009-10,Total,"39,593","32,414","7,179"
2009-10,Alabama,509,385,124
2009-10,Alaska,32,22,10
2009-10,Arizona,"2,503","1,999",504
2009-10,Arkansas,204,165,39
2009-10,California,"3,548","2,979",569
2009-10,Colorado,672,570,102
2009-10,Connecticut,192,159,33
2009-10,Delaware,96,79,17
2009-10,District of Columbia,211,140,71
2009-10,Florida,"2,129","1,740",389
2009-10,Georgia,"1,191",936,255
2009-10,Hawaii,105,84,21
2009-10,Idaho,238,204,34
2009-10,Illinois,"2,324","1,935",389
2009-10,Indiana,879,749,130
2009-10,Iowa,660,502,158
2009-10,Kansas,293,254,39
2009-10,Kentucky,255,212,43
2009-10,Louisiana,316,239,77
2009-10,Maine,74,60,14
2009-10,Maryland,"1,709","1,299",410
2009-10,Massachusetts,"1,079",871,208
2009-10,Michigan,"1,393","1,185",208
2009-10,Minnesota,813,679,134
2009-10,Mississippi,151,122,29
2009-10,Missouri,927,778,149
2009-10,Montana,51,39,12
2009-10,Nebraska,372,324,48
2009-10,Nevada,200,160,40
2009-10,New Hampshire,152,138,14
2009-10,New Jersey,704,605,99
2009-10,New Mexico,187,147,40
2009-10,New York,"2,873","2,410",463
2009-10,North Carolina,883,669,214
2009-10,North Dakota,148,116,32
2009-10,Ohio,"1,124",927,197
2009-10,Oklahoma,281,244,37
2009-10,Oregon,366,308,58
2009-10,Pennsylvania,"2,646","2,189",457
2009-10,Rhode Island,214,179,35
2009-10,South Carolina,376,292,84
2009-10,South Dakota,148,119,29
2009-10,Tennessee,525,418,107
2009-10,Texas,"1,481","1,243",238
2009-10,Utah,923,678,245
2009-10,Vermont,209,180,29
2009-10,Virginia,"1,453","1,177",276
2009-10,Washington,764,650,114
2009-10,West Virginia,269,230,39
2009-10,Wisconsin,724,608,116
2009-10,Wyoming,17,17,0
2008-09,Total,"37,991","31,212","6,779"
2008-09,Alabama,459,361,98
2008-09,Alaska,38,32,6
2008-09,Arizona,"2,068","1,629",439
2008-09,Arkansas,250,203,47
2008-09,California,"3,431","2,954",477
2008-09,Colorado,977,799,178
2008-09,Connecticut,167,141,26
2008-09,Delaware,108,89,19
2008-09,District of Columbia,629,425,204
2008-09,Florida,"2,153","1,747",406
2008-09,Georgia,"1,088",875,213
2008-09,Hawaii,151,122,29
2008-09,Idaho,204,179,25
2008-09,Illinois,"2,110","1,719",391
2008-09,Indiana,834,732,102
2008-09,Iowa,545,390,155
2008-09,Kansas,366,304,62
2008-09,Kentucky,240,208,32
2008-09,Louisiana,340,248,92
2008-09,Maine,59,52,7
2008-09,Maryland,"1,410","1,051",359
2008-09,Massachusetts,"1,034",859,175
2008-09,Michigan,"1,240","1,067",173
2008-09,Minnesota,864,716,148
2008-09,Mississippi,148,118,30
2008-09,Missouri,878,724,154
2008-09,Montana,83,72,11
2008-09,Nebraska,360,311,49
2008-09,Nevada,173,128,45
2008-09,New Hampshire,157,132,25
2008-09,New Jersey,710,602,108
2008-09,New Mexico,223,182,41
2008-09,New York,"2,975","2,442",533
2008-09,North Carolina,841,658,183
2008-09,North Dakota,138,107,31
2008-09,Ohio,"1,185",996,189
2008-09,Oklahoma,271,240,31
2008-09,Oregon,388,349,39
2008-09,Pennsylvania,"2,567","2,112",455
2008-09,Rhode Island,205,161,44
2008-09,South Carolina,352,255,97
2008-09,South Dakota,149,106,43
2008-09,Tennessee,431,367,64
2008-09,Texas,"1,349","1,147",202
2008-09,Utah,913,816,97
2008-09,Vermont,148,122,26
2008-09,Virginia,971,796,175
2008-09,Washington,736,628,108
2008-09,West Virginia,226,200,26
2008-09,Wisconsin,642,532,110
2008-09,Wyoming,7,7,0
2007-08,Total,"38,523","31,731","6,792"
2007-08,Alabama,432,330,102
2007-08,Alaska,37,31,6
2007-08,Arizona,"2,484","2,001",483
2007-08,Arkansas,239,208,31
2007-08,California,"3,606","3,099",507
2007-08,Colorado,"1,100",879,221
2007-08,Connecticut,215,178,37
2007-08,Delaware,88,70,18
2007-08,District of Columbia,711,515,196
2007-08,Florida,"2,102","1,753",349
2007-08,Georgia,"1,168",945,223
2007-08,Hawaii,120,92,28
2007-08,Idaho,174,156,18
2007-08,Illinois,"2,202","1,793",409
2007-08,Indiana,966,812,154
2007-08,Iowa,557,426,131
2007-08,Kansas,347,279,68
2007-08,Kentucky,223,191,32
2007-08,Louisiana,395,304,91
2007-08,Maine,64,56,8
2007-08,Maryland,"1,533","1,138",395
2007-08,Massachusetts,"1,056",878,178
2007-08,Michigan,"1,170",979,191
2007-08,Minnesota,816,683,133
2007-08,Mississippi,171,136,35
2007-08,Missouri,957,800,157
2007-08,Montana,79,66,13
2007-08,Nebraska,376,318,58
2007-08,Nevada,186,137,49
2007-08,New Hampshire,154,121,33
2007-08,New Jersey,780,655,125
2007-08,New Mexico,224,166,58
2007-08,New York,"2,888","2,356",532
2007-08,North Carolina,763,608,155
2007-08,North Dakota,102,93,9
2007-08,Ohio,"1,168",965,203
2007-08,Oklahoma,285,246,39
2007-08,Oregon,338,307,31
2007-08,Pennsylvania,"2,493","2,025",468
2007-08,Rhode Island,228,186,42
2007-08,South Carolina,310,259,51
2007-08,South Dakota,173,140,33
2007-08,Tennessee,413,343,70
2007-08,Texas,"1,203","1,037",166
2007-08,Utah,794,729,65
2007-08,Vermont,105,92,13
2007-08,Virginia,965,795,170
2007-08,Washington,665,593,72
2007-08,West Virginia,264,233,31
2007-08,Wisconsin,623,518,105
2007-08,Wyoming,11,11,0
2006-07,Total,"42,163","34,337","7,826"
2006-07,Alabama,637,470,167
2006-07,Alaska,31,25,6
2006-07,Arizona,"2,766","2,246",520
2006-07,Arkansas,267,225,42
2006-07,California,"3,754","3,119",635
2006-07,Colorado,"1,241",989,252
2006-07,Connecticut,243,206,37
2006-07,Delaware,78,72,6
2006-07,District of Columbia,783,526,257
2006-07,Florida,"2,146","1,739",407
2006-07,Georgia,"1,249",971,278
2006-07,Hawaii,127,103,24
2006-07,Idaho,231,204,27
2006-07,Illinois,"2,747","2,229",518
2006-07,Indiana,"1,037",879,158
2006-07,Iowa,540,408,132
2006-07,Kansas,347,270,77
2006-07,Kentucky,250,213,37
2006-07,Louisiana,451,329,122
2006-07,Maine,85,73,12
2006-07,Maryland,"1,725","1,282",443
2006-07,Massachusetts,"1,060",873,187
2006-07,Michigan,"1,255","1,043",212
2006-07,Minnesota,813,675,138
2006-07,Mississippi,162,128,34
2006-07,Missouri,"1,131",895,236
2006-07,Montana,77,63,14
2006-07,Nebraska,353,299,54
2006-07,Nevada,167,133,34
2006-07,New Hampshire,191,156,35
2006-07,New Jersey,872,729,143
2006-07,New Mexico,273,210,63
2006-07,New York,"3,320","2,735",585
2006-07,North Carolina,821,657,164
2006-07,North Dakota,112,100,12
2006-07,Ohio,"1,228",996,232
2006-07,Oklahoma,311,263,48
2006-07,Oregon,376,335,41
2006-07,Pennsylvania,"2,615","2,161",454
2006-07,Rhode Island,261,221,40
2006-07,South Carolina,405,311,94
2006-07,South Dakota,188,150,38
2006-07,Tennessee,421,352,69
2006-07,Texas,"1,282","1,084",198
2006-07,Utah,974,863,111
2006-07,Vermont,89,75,14
2006-07,Virginia,935,780,155
2006-07,Washington,777,685,92
2006-07,West Virginia,197,169,28
2006-07,Wisconsin,751,607,144
2006-07,Wyoming,11,11,0
2005-06,Total,"47,702","37,905","9,797"
2005-06,Alabama,682,485,197
2005-06,Alaska,50,40,10
2005-06,Arizona,"2,704","2,058",646
2005-06,Arkansas,292,231,61
2005-06,California,"4,395","3,634",761
2005-06,Colorado,"1,399","1,120",279
2005-06,Connecticut,274,225,49
2005-06,Delaware,109,91,18
2005-06,District of Columbia,"1,146",714,432
2005-06,Florida,"2,334","1,866",468
2005-06,Georgia,"1,613","1,218",395
2005-06,Hawaii,188,148,40
2005-06,Idaho,253,225,28
2005-06,Illinois,"3,513","2,761",752
2005-06,Indiana,"1,103",934,169
2005-06,Iowa,437,344,93
2005-06,Kansas,402,319,83
2005-06,Kentucky,213,192,21
2005-06,Louisiana,457,298,159
2005-06,Maine,72,61,11
2005-06,Maryland,"1,888","1,374",514
2005-06,Massachusetts,"1,229","1,020",209
2005-06,Michigan,"1,330","1,036",294
2005-06,Minnesota,956,778,178
2005-06,Mississippi,207,155,52
2005-06,Missouri,"1,268","1,025",243
2005-06,Montana,96,84,12
2005-06,Nebraska,357,301,56
2005-06,Nevada,208,166,42
2005-06,New Hampshire,229,195,34
2005-06,New Jersey,"1,138",923,215
2005-06,New Mexico,244,174,70
2005-06,New York,"3,977","3,162",815
2005-06,North Carolina,927,690,237
2005-06,North Dakota,141,124,17
2005-06,Ohio,"1,283","1,042",241
2005-06,Oklahoma,336,271,65
2005-06,Oregon,389,331,58
2005-06,Pennsylvania,"3,022","2,465",557
2005-06,Rhode Island,287,225,62
2005-06,South Carolina,427,299,128
2005-06,South Dakota,276,219,57
2005-06,Tennessee,456,363,93
2005-06,Texas,"1,670","1,400",270
2005-06,Utah,887,768,119
2005-06,Vermont,94,81,13
2005-06,Virginia,"1,056",853,203
2005-06,Washington,772,648,124
2005-06,West Virginia,187,149,38
2005-06,Wisconsin,710,602,108
2005-06,Wyoming,19,18,1
2004-05,Total,"54,114","42,137","11,977"
2004-05,Alabama,654,464,190
2004-05,Alaska,53,43,10
2004-05,Arizona,"2,411","1,788",623
2004-05,Arkansas,341,273,68
2004-05,California,"5,540","4,429","1,111"
2004-05,Colorado,"1,124",891,233
2004-05,Connecticut,337,285,52
2004-05,Delaware,93,79,14
2004-05,District of Columbia,614,406,208
2004-05,Florida,"2,421","1,831",590
2004-05,Georgia,"1,970","1,406",564
2004-05,Hawaii,248,191,57
2004-05,Idaho,263,236,27
2004-05,Illinois,"4,050","3,139",911
2004-05,Indiana,"1,218",999,219
2004-05,Iowa,513,393,120
2004-05,Kansas,475,366,109
2004-05,Kentucky,253,217,36
2004-05,Louisiana,589,390,199
2004-05,Maine,105,92,13
2004-05,Maryland,"2,239","1,584",655
2004-05,Massachusetts,"1,444","1,150",294
2004-05,Michigan,"1,572","1,248",324
2004-05,Minnesota,"1,091",889,202
2004-05,Mississippi,227,162,65
2004-05,Missouri,"1,652","1,283",369
2004-05,Montana,92,75,17
2004-05,Nebraska,370,294,76
2004-05,Nevada,220,178,42
2004-05,New Hampshire,279,227,52
2004-05,New Jersey,"1,543","1,185",358
2004-05,New Mexico,296,231,65
2004-05,New York,"4,857","3,796","1,061"
2004-05,North Carolina,"1,159",859,300
2004-05,North Dakota,136,122,14
2004-05,Ohio,"1,496","1,178",318
2004-05,Oklahoma,425,337,88
2004-05,Oregon,435,367,68
2004-05,Pennsylvania,"3,348","2,658",690
2004-05,Rhode Island,340,273,67
2004-05,South Carolina,542,376,166
2004-05,South Dakota,295,236,59
2004-05,Tennessee,483,389,94
2004-05,Texas,"2,055","1,641",414
2004-05,Utah,925,817,108
2004-05,Vermont,89,79,10
2004-05,Virginia,"1,246",952,294
2004-05,Washington,943,791,152
2004-05,West Virginia,176,149,27
2004-05,Wisconsin,844,672,172
2004-05,Wyoming,23,21,2
2003-04,Total,"59,660","44,715","14,945"
2003-04,Alabama,696,458,238
2003-04,Alaska,30,28,2
2003-04,Arizona,"2,144","1,556",588
2003-04,Arkansas,403,305,98
2003-04,California,"6,756","5,194","1,562"
2003-04,Colorado,"1,177",921,256
2003-04,Connecticut,340,270,70
2003-04,Delaware,126,94,32
2003-04,District of Columbia,"1,329",805,524
2003-04,Florida,"2,808","2,078",730
2003-04,Georgia,"3,391","2,412",979
2003-04,Hawaii,236,188,48
2003-04,Idaho,194,157,37
2003-04,Illinois,"3,329","2,453",876
2003-04,Indiana,"1,127",929,198
2003-04,Iowa,538,435,103
2003-04,Kansas,564,436,128
2003-04,Kentucky,293,246,47
2003-04,Louisiana,653,399,254
2003-04,Maine,130,99,31
2003-04,Maryland,"2,325","1,619",706
2003-04,Massachusetts,"1,623","1,236",387
2003-04,Michigan,"1,658","1,262",396
2003-04,Minnesota,"1,092",873,219
2003-04,Mississippi,268,177,91
2003-04,Missouri,"1,775","1,306",469
2003-04,Montana,137,112,25
2003-04,Nebraska,370,290,80
2003-04,Nevada,220,156,64
2003-04,New Hampshire,319,251,68
2003-04,New Jersey,"1,892","1,408",484
2003-04,New Mexico,324,238,86
2003-04,New York,"5,678","4,214","1,464"
2003-04,North Carolina,"1,290",891,399
2003-04,North Dakota,163,124,39
2003-04,Ohio,"1,584","1,262",322
2003-04,Oklahoma,433,342,91
2003-04,Oregon,478,408,70
2003-04,Pennsylvania,"3,401","2,590",811
2003-04,Rhode Island,383,285,98
2003-04,South Carolina,543,383,160
2003-04,South Dakota,368,258,110
2003-04,Tennessee,490,373,117
2003-04,Texas,"2,314","1,758",556
2003-04,Utah,976,830,146
2003-04,Vermont,78,66,12
2003-04,Virginia,"1,288",988,300
2003-04,Washington,877,713,164
2003-04,West Virginia,191,167,24
2003-04,Wisconsin,836,653,183
2003-04,Wyoming,22,19,3
2002-03,Total,"57,433","41,950","15,483"
2002-03,Alabama,663,449,214
2002-03,Alaska,39,33,6
2002-03,Arizona,"1,526","1,119",407
2002-03,Arkansas,414,313,101
2002-03,California,"6,552","4,888","1,664"
2002-03,Colorado,993,778,215
2002-03,Connecticut,292,227,65
2002-03,Delaware,134,98,36
2002-03,District of Columbia,"1,233",760,473
2002-03,Florida,"2,337","1,655",682
2002-03,Georgia,"2,540","1,738",802
2002-03,Hawaii,236,180,56
2002-03,Idaho,199,154,45
2002-03,Illinois,"3,551","2,590",961
2002-03,Indiana,"1,131",904,227
2002-03,Iowa,535,405,130
2002-03,Kansas,678,489,189
2002-03,Kentucky,289,227,62
2002-03,Louisiana,733,467,266
2002-03,Maine,99,78,21
2002-03,Maryland,"2,032","1,309",723
2002-03,Massachusetts,"1,584","1,190",394
2002-03,Michigan,"1,791","1,316",475
2002-03,Minnesota,"1,045",826,219
2002-03,Mississippi,262,182,80
2002-03,Missouri,"1,882","1,397",485
2002-03,Montana,126,102,24
2002-03,Nebraska,331,263,68
2002-03,Nevada,144,97,47
2002-03,New Hampshire,329,250,79
2002-03,New Jersey,"1,892","1,315",577
2002-03,New Mexico,323,228,95
2002-03,New York,"6,003","4,257","1,746"
2002-03,North Carolina,"1,199",844,355
2002-03,North Dakota,214,165,49
2002-03,Ohio,"1,769","1,317",452
2002-03,Oklahoma,366,288,78
2002-03,Oregon,424,334,90
2002-03,Pennsylvania,"3,218","2,428",790
2002-03,Rhode Island,387,276,111
2002-03,South Carolina,527,365,162
2002-03,South Dakota,233,174,59
2002-03,Tennessee,492,363,129
2002-03,Texas,"2,472","1,828",644
2002-03,Utah,872,724,148
2002-03,Vermont,94,68,26
2002-03,Virginia,"1,319",994,325
2002-03,Washington,770,593,177
2002-03,West Virginia,270,213,57
2002-03,Wisconsin,870,673,197
2002-03,Wyoming,19,19,0

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions."
"The new Doctor's degree classifications of research/scholarship, professional practice, and other Doctor's degrees were optional in 2007-08 and 2008-09 and became mandatory in 2009-10.  The old classifications of Doctor's degree, first-professional degree, and first-professional certificate were no longer reported after 2008-09. For information on comparing the old and new post-baccalaureate award classifications, go to <a href=""https://nces.ed.gov/ipeds/report-your-data/data-tip-sheet-reporting-graduate-awards"" target=""_blank"">https://nces.ed.gov/ipeds/report-your-data/data-tip-sheet-reporting-graduate-awards</a>."
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Completions component final data (2001-02 - 2022-23) and provisional data (2023-24)."


Results limited By
Sector of institution,"Public, 4-year or above; Private not-for-profit, 4-year or above; Private for-profit, 4-year or above"
Award level,Bachelor's degree
CIP Code,Computer and Information Sciences and Support Services
